title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
Honeytrap,Movie,2014,NR,SuperHD,"Jessica Sula, Lucien Laviscount, Ntonga Mwanza, Naomi Ryan",Rebecca Johnson,"Dramas
                  Independent Movies",5.7,93,80132732,2016-10-03,"New to London, a naive and desperate teenager tries to fit in but instead becomes tragically implicated in a merciless world of gang violence.",1,english
Buddy Thunderstruck: The Maybe Pile,Movie,2017,TV-Y7,SuperHD,"Brian Atkinson, Ted Raimi, Harry Chaskin, Debi Derryberry",Harry Chaskin,Movies,8.0,13,80149064,2017-07-14,Champion truck-racing dog Buddy and his handyman ferret pal Darnell test potentially awesome (but mostly terrible) ideas in this interactive adventure.,1,english
Puss in Book: Trapped in an Epic Tale,Movie,2017,TV-MA,SuperHD,"Eric Bauza, Jayma Mays, Maria Bamford, Jeff Bennett","Roy Burdine, Johnny Castuciano","Children & Family Movies
                  Comedies",5.3,23,80151644,2017-06-20,Puss in Boots has fallen into a magic book ruled by a sneaky Storyteller. Only you can help our hero find his way in this interactive story!,1,english
Elliot the Littlest Reindeer,Movie,2018,TV-MA,SuperHD,"Josh Hutcherson, Samantha Bee, Martin Short, Morena Baccarin",Jennifer Westcott,Children & Family Movies,5.0,90,80215046,2019-11-01,"When Blitzen suddenly retires, a miniature horse determined to join Santa's reindeer team faces fierce competition in the North Pole tryouts.",1,english
Monty Python: The Meaning of Live,Documentary,2014,TV-14,SuperHD,"John Cleese, Terry Gilliam, Eric Idle, Terry Jones","Roger Graef, James Rogan",Documentaries,7.6,93,80236470,2018-10-02,"From heyday to curtain call, this documentary offers a rare glimpse of the legendary Monty Python troupe as it stages live shows after a long hiatus.",1,english
Hidden in Plain Sight,Movie,2019,TV-14,SuperHD,"Victoria Barabas, Gino Anthony Pesi, Jake Allyn, Deborah Van Valkenburgh",Stacia Crawford,"Dramas
                  Independent Movies
                  Thrillers",4.0,87,81094667,2019-04-30,A woman stages her own suicide but still lives in fear of her abusive ex-boyfriend tracking her down and stealing the son he never knew he had.,1,english
A.M.I.,Movie,2019,TV-MA,SuperHD,"Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy",Rusty Nixon,Horror Movies,3.9,77,81103033,2019-10-01,"After losing her mother, a teenage girl bonds with her phone’s artificial intelligence app, a relationship that soon takes a dark and violent turn.",1,english
Christmas Break-In,Movie,2019,TV-Y7-FV,SuperHD,"Danny Glover, Denise Richards, Cameron Seely, Sean O'Bryan",Michael Kampa,"Children & Family Movies
                  Comedies",4.6,86,81154982,2019-11-01,"Stranded at school before holiday break, a precocious girl gets into the spirit of saving when a trio of robbers trespass and hold the janitor hostage.",1,english
The CEO,Movie,2016,TV-14,SuperHD,"Wale Ojo, Jimmy Jean-Louis, Hilda Dokubo, Nico Panagio",Kunle Afolayan,"Dramas
                  International Movies
                  Thrillers",6.2,108,81165770,2019-09-01,A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win -- and stay alive.,1,english
The Figurine (Araromire),Movie,2009,TV-14,SuperHD,"Ramsey Nouah, Omoni Oboli, Kunle Afolayan, Funlola Aofiyebi",Kunle Afolayan,"Horror Movies
                  International Movies
                  Thrillers",4.5,121,81165772,2019-10-01,"When a pair of friends discovers a mystical sculpture in an abandoned shrine, good fortune is bestowed upon them -- until luck starts running out.",1,english
Solo,Movie,2018,TV-MA,SuperHD,"Alain Hernández, Aura Garrido, Ben Temple",Hugo Stuven,"Dramas
                  Independent Movies
                  International Movies",4.9,90,80245041,2019-01-11,"In a remote area of the Canary Islands, a surfer falls off a cliff. Fighting to survive, he reflects on his life and past romance. Based on true events.",1,spanish
The Tree of Blood,Movie,2018,TV-MA,SuperHD,"Úrsula Corberó, Álvaro Cervantes, Najwa Nimri, Patricia López Arnaiz",Julio Medem,"Dramas
                  Independent Movies
                  International Movies",6.4,135,81029383,2019-02-08,"As a young couple write the story of their families' shared history, both reveal their relatives' dark secrets and one must make a painful confession.",1,spanish
Andaz Apna Apna,Movie,1994,TV-14,SuperHD,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor",Rajkumar Santoshi,"Comedies
                  Cult Movies
                  International Movies",8.2,159,20258084,2018-05-07,"Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage.",1,hindi
Action Replayy,Movie,2010,TV-PG,SuperHD,"Akshay Kumar, Aishwarya Rai Bachchan, Om Puri, Kiron Kher",Vipul Amrutlal Shah,"Children & Family Movies
                  Comedies
                  International Movies",4.2,129,70158421,2018-05-07,"Vipul Amrutlal Shah directs this sci-fi rom-com that stars Akshay Kumar and Aishwarya Rai as Kishen and Mala, a married couple who are so miserable, they inspire their son, Bunty, to go back in time and make his parents fall in love.",1,hindi
Tanu Weds Manu,Movie,2011,TV-14,SuperHD,"Madhavan, Kangana Ranaut, Jimmy Shergill, Deepak Dobriyal",Aanand Rai,"Comedies
                  Dramas
                  International Movies",6.7,114,70176968,2017-05-01,"When London-based doctor Manu reluctantly returns to India to find a bride, he meets the girl of his dreams -- only to discover she loves another man.",1,hindi
Oh My God,Movie,2012,TV-PG,SuperHD,"Akshay Kumar, Paresh Rawal, Mithun Chakraborty, Om Puri",Umesh Shukla,"Comedies
                  Dramas
                  International Movies",8.1,128,70258366,2017-05-01,Mumbai shopkeeper Kanji Bhai files a lawsuit against God when an earthquake destroys his store and his insurance policy won't cover the damage.,1,hindi
Inkaar,Movie,2013,TV-MA,SuperHD,"Arjun Rampal, Chitrangada Singh, Deepti Naval, Kanwaljeet Singh",Sudhir Mishra,"Dramas
                  International Movies
                  Romantic Movies",6.1,125,70268489,2017-05-01,"An ad agency CEO is put under investigation when his ambitious protégée -- and lover -- accuses him of sexual harassment, vying for his top position.",1,hindi
Special 26,Movie,2013,TV-PG,SuperHD,"Akshay Kumar, Manoj Bajpayee, Anupam Kher, Jimmy Shergill",Neeraj Pandey,"Dramas
                  International Movies
                  Thrillers",8.0,136,70273637,2017-05-01,"In this fact-based crime drama, a gang of con artists posing as government officials executes a heist in the form of a raid on a prominent jeweler.",1,hindi
Bombay Talkies,Movie,2013,TV-MA,SuperHD,"Rani Mukerji, Randeep Hooda, Saqib Saleem, Nawazuddin Siddiqui","Anurag Kashyap, Dibakar Banerjee","Dramas
                  International Movies",6.7,122,70275753,2017-05-01,"A gay man deals with his sexuality, a struggling actor has an epiphany, a boy becomes a dancer, and a man tries to fulfill his father's dying wish.",1,hindi
Chashme Buddoor,Movie,2013,TV-14,SuperHD,"Ali Zafar, Siddharth, Divyendu Sharma, Taapsee Pannu",David Dhawan,"Comedies
                  International Movies
                  Music & Musicals",5.4,120,70275774,2017-05-01,"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",1,hindi
Boss,Movie,2013,TV-PG,SuperHD,"Akshay Kumar, Ronit Roy, Shiv Pandit, Mithun Chakraborty",Anthony D'Souza,"Action & Adventure
                  Comedies
                  International Movies",5.1,138,70295762,2017-05-01,"Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help.",1,hindi
